customer_id,email,phone,credit_score,annual_income,utilization_rate,late_payments_12m,tenure_months,savings_balance,channel,avg_txn_amount_3m,shap__credit_score,shap__annual_income,shap__utilization_rate,shap__late_payments_12m,shap__tenure_months,shap__savings_balance,shap__channel,shap__avg_txn_amount_3m,p_apply,decile,exp_expected_value,exp_1_feature,exp_1_contribution,exp_1_value,exp_2_feature,exp_2_contribution,exp_2_value,exp_3_feature,exp_3_contribution,exp_3_value,exp_4_feature,exp_4_contribution,exp_4_value,exp_5_feature,exp_5_contribution,exp_5_value
105069,cust105069@example.com,+1-555-306-3246,813.0,91748.0,0.09389484164705678,1,17,10976.0,web,38.65,2.01377039561918,0.29925565677676996,0.1637459784115906,-0.07482531932043639,-0.0072428536719234314,0.010346187572162904,0.0024586657217839114,0.008589947727744043,0.9471219228824792,10,0.46934034075694847,credit_score,2.01377039561918,813.0,annual_income,0.29925565677676996,91748.0,utilization_rate,0.1637459784115906,0.09389484164705678,late_payments_12m,-0.07482531932043639,1,savings_balance,0.010346187572162904,10976.0
105477,cust105477@example.com,+1-555-401-3590,803.0,82369.0,0.12605632636554212,1,213,6250.0,web,52.32,1.940572808074394,0.28150482416342265,0.17597304034434444,-0.08603002149858617,0.04309741747820693,0.010731938661634422,0.005900422073971222,0.009226690737000373,0.9453350904160761,10,0.46934034075694847,credit_score,1.940572808074394,803.0,annual_income,0.28150482416342265,82369.0,utilization_rate,0.17597304034434444,0.12605632636554212,late_payments_12m,-0.08603002149858617,1,tenure_months,0.04309741747820693,213
103775,cust103775@example.com,+1-555-815-4155,832.0,82630.0,0.24523701332334472,0,47,9331.0,app,81.4,1.9157847354868276,0.24969924968549173,0.14359222412529465,0.03898604585630669,-0.038371392384763184,0.005951682639449292,0.03596628677200806,0.01351787737940838,0.9445101886870103,10,0.46934034075694847,credit_score,1.9157847354868276,832.0,annual_income,0.24969924968549173,82630.0,utilization_rate,0.14359222412529465,0.24523701332334472,late_payments_12m,0.03898604585630669,0,tenure_months,-0.038371392384763184,47
105558,cust105558@example.com,+1-555-392-6594,781.0,110188.0,0.17880820047708082,0,220,9592.0,app,29.9,1.8131579076615072,0.2678704322899522,0.16379035121058882,0.04540067556949996,0.03441040939779602,0.00832378211570554,0.014103585219469243,-0.0019056317565651912,0.9434539311631727,10,0.46934034075694847,credit_score,1.8131579076615072,781.0,annual_income,0.2678704322899522,110188.0,utilization_rate,0.16379035121058882,0.17880820047708082,late_payments_12m,0.04540067556949996,0,tenure_months,0.03441040939779602,220
104090,cust104090@example.com,+1-555-661-3365,816.0,81881.0,0.2557953955221242,0,171,4409.0,app,32.16,1.864972869821473,0.2287556953799394,0.12559834373084547,0.04572002194982537,0.017874337695839067,0.0049046742246771444,0.03444164511290135,-0.002146494487614492,0.9421036760003431,10,0.46934034075694847,credit_score,1.864972869821473,816.0,annual_income,0.2287556953799394,81881.0,utilization_rate,0.12559834373084547,0.2557953955221242,late_payments_12m,0.04572002194982537,0,channel,0.03444164511290135,app
103120,cust103120@example.com,+1-555-395-7714,781.0,108766.0,0.2163014527006413,0,123,6003.0,web,27.01,1.809358061622955,0.2803460217147903,0.16294272043625513,0.0439969205697674,-0.011850838262550062,0.009322057383005879,0.00751679073127073,-0.0015595232620461792,0.9410003806377092,10,0.46934034075694847,credit_score,1.809358061622955,781.0,annual_income,0.2803460217147903,108766.0,utilization_rate,0.16294272043625513,0.2163014527006413,late_payments_12m,0.0439969205697674,0,tenure_months,-0.011850838262550062,123
103666,cust103666@example.com,+1-555-318-3583,850.0,92851.0,0.016723937234452004,2,21,1754.0,app,59.4,1.9786059884471026,0.2928675452918692,0.14454507273146192,-0.18168704145920048,-0.016644455805262796,0.04044366364791066,0.020505368717756444,0.008376649331366216,0.9402711496516464,10,0.46934034075694847,credit_score,1.9786059884471026,850.0,annual_income,0.2928675452918692,92851.0,late_payments_12m,-0.18168704145920048,2,utilization_rate,0.14454507273146192,0.016723937234452004,savings_balance,0.04044366364791066,1754.0
104666,cust104666@example.com,+1-555-767-9751,782.0,85357.0,0.05440338919330742,1,92,1340.0,app,103.65,1.9233968663103262,0.287437390855653,0.16220594430771273,-0.10109367173581527,-0.025191914836854592,-0.0027409455019954034,0.02765520158208338,0.011716882842274023,0.9400671249011523,10,0.46934034075694847,credit_score,1.9233968663103262,782.0,annual_income,0.287437390855653,85357.0,utilization_rate,0.16220594430771273,0.05440338919330742,late_payments_12m,-0.10109367173581527,1,channel,0.02765520158208338,app
101100,cust101100@example.com,+1-555-630-7310,805.0,78089.0,0.18245697486498128,0,207,5685.0,web,64.3,1.8553266570736384,0.16165088271151065,0.1560017132422646,0.04075434213729718,0.03274732224551541,0.008781467838510696,0.0006939639115022,0.014726477122207206,0.9393474166131525,10,0.46934034075694847,credit_score,1.8553266570736384,805.0,annual_income,0.16165088271151065,78089.0,utilization_rate,0.1560017132422646,0.18245697486498128,late_payments_12m,0.04075434213729718,0,tenure_months,0.03274732224551541,207
100526,cust100526@example.com,+1-555-870-6617,780.0,81989.0,0.06180453125941466,0,104,2862.0,web,54.83,1.8090029588597918,0.23587988782002678,0.17858228613735572,0.045268848327855785,-0.017065049183242875,-0.04006382489445581,-0.004285697176344955,0.01472695547898095,0.9365164759343904,10,0.46934034075694847,credit_score,1.8090029588597918,780.0,annual_income,0.23587988782002678,81989.0,utilization_rate,0.17858228613735572,0.06180453125941466,late_payments_12m,0.045268848327855785,0,savings_balance,-0.04006382489445581,2862.0
